id_oblig,id_cli,cod_prod,vr_aprobado,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
OBL0000001,CLI0009707,PROD004,42785355.0,36463327.0,8926835.0,1012870.0,2024-06-10,2027-05-26,0,27.0,A
OBL0000002,CLI0002456,PROD006,19875987.0,18760057.0,17159258.0,390835.0,2024-12-27,2028-12-06,0,4.0,A
OBL0000003,CLI0007228,PROD003,21308638.0,20822060.0,14808737.0,578391.0,2024-04-24,2027-04-09,173,10.0,E
OBL0000004,CLI0009090,PROD015,25520569.0,23682552.0,18892798.0,394709.0,2024-06-18,2029-05-23,48,12.0,C
OBL0000005,CLI0007347,PROD011,11969945.0,11858788.0,3045731.0,494116.0,2024-09-02,2026-08-23,53,17.0,C
OBL0000006,CLI0000042,PROD004,23723330.0,20247971.0,15937548.0,562444.0,2024-07-18,2027-07-03,0,7.0,A
OBL0000007,CLI0005270,PROD003,26018579.0,23717136.0,10308965.0,658809.0,2024-11-10,2027-10-26,6,20.0,B
OBL0000008,CLI0000906,PROD005,41082636.0,39164963.0,5934469.0,652749.0,2024-02-26,2029-01-30,0,50.0,A
OBL0000009,CLI0000140,PROD003,15196233.0,14846409.0,2003450.0,412400.0,2024-12-24,2027-12-09,0,31.0,A
OBL0000010,CLI0002084,PROD005,35614014.0,32300110.0,15913699.0,538335.0,2024-04-27,2029-04-01,4,30.0,B
OBL0000011,CLI0000370,PROD002,32568513.0,31038035.0,13519422.0,517301.0,2024-12-08,2029-11-12,0,33.0,A
OBL0000012,CLI0000204,PROD013,6072747.0,5345029.0,3521553.0,445419.0,2024-06-06,2025-06-01,0,4.0,A
OBL0000013,CLI0008414,PROD014,6342293.0,5627796.0,5174838.0,234492.0,2024-04-22,2026-04-12,48,1.0,C
OBL0000014,CLI0009544,PROD013,23631517.0,22205080.0,3068797.0,1850423.0,2024-12-29,2025-12-24,0,10.0,A
OBL0000015,CLI0002541,PROD006,7773950.0,6860167.0,3855186.0,142920.0,2024-08-08,2028-07-18,47,21.0,C
OBL0000016,CLI0005666,PROD015,17299589.0,16313304.0,7544078.0,271888.0,2024-09-02,2029-08-07,61,32.0,D
OBL0000017,CLI0002050,PROD002,19515744.0,16974306.0,7982916.0,282905.0,2024-05-10,2029-04-14,0,31.0,A
OBL0000018,CLI0002687,PROD009,48604899.0,47354977.0,42867936.0,1315416.0,2024-05-04,2027-04-19,0,3.0,A
OBL0000019,CLI0001165,PROD003,37999493.0,35547728.0,2604338.0,987437.0,2024-06-05,2027-05-21,0,33.0,A
OBL0000020,CLI0008137,PROD004,43986706.0,42359038.0,8568090.0,1176640.0,2024-05-24,2027-05-09,66,,D
OBL0000021,CLI0003939,PROD010,40690500.0,38169899.0,13203655.0,1060275.0,2024-10-20,2027-10-05,25,23.0,B
OBL0000022,CLI0000698,PROD001,23572577.0,21700770.0,20905906.0,452099.0,2024-09-08,2028-08-18,0,1.0,A
OBL0000023,CLI0009435,PROD014,20189225.0,17293827.0,8439895.0,720576.0,2024-07-17,2026-07-07,64,12.0,D
OBL0000024,CLI0002201,PROD015,43534515.0,37117730.0,7451845.0,618629.0,2024-12-21,2029-11-25,32,47.0,C
OBL0000025,CLI0001237,PROD003,5044889.0,4583666.0,1559074.0,127324.0,2024-09-22,2027-09-07,79,23.0,D
OBL0000026,CLI0002705,PROD004,41646497.0,38175201.0,20921339.0,1060422.0,2024-10-05,2027-09-20,70,16.0,D
OBL0000027,CLI0006270,PROD014,44204508.0,43958230.0,27840217.0,1831593.0,2024-03-20,2026-03-10,72,8.0,D
OBL0000028,CLI0009957,PROD012,35545106.0,33420521.0,16482113.0,1392522.0,2024-10-01,2026-09-21,64,12.0,D
OBL0000029,CLI0002145,PROD003,30924693.0,29339723.0,21927933.0,814992.0,2024-05-14,2027-04-29,0,,A
OBL0000030,CLI0002453,PROD011,45241361.0,40014869.0,34295548.0,1667286.0,2024-06-08,2026-05-29,0,3.0,A
OBL0000031,CLI0002199,PROD006,28177550.0,27226576.0,5588481.0,567220.0,2024-12-08,2028-11-17,0,38.0,A
OBL0000032,CLI0006808,PROD008,48058283.0,46043204.0,9313589.0,3836934.0,2024-06-15,2025-06-10,0,9.0,A
OBL0000033,CLI0006340,PROD011,37949271.0,34539375.0,18823031.0,1439141.0,2024-03-01,2026-02-19,0,,A
OBL0000034,CLI0009260,PROD010,30634001.0,29195252.0,2261529.0,810979.0,2024-09-09,2027-08-25,0,33.0,A
OBL0000035,CLI0009025,PROD014,9431026.0,8320342.0,6120552.0,346681.0,2024-12-12,2026-12-02,0,6.0,A
OBL0000036,CLI0006852,PROD009,8447245.0,7390127.0,3146361.0,205281.0,2024-01-13,2026-12-28,0,20.0,A
OBL0000037,CLI0006342,PROD002,26944874.0,25205303.0,24980317.0,420088.0,2024-06-30,2029-06-04,0,0.0,A
OBL0000038,CLI0008929,PROD008,47173295.0,40958919.0,3426448.0,3413243.0,2024-08-17,2025-08-12,0,10.0,A
OBL0000039,CLI0009141,PROD013,14606333.0,14090507.0,8086161.0,1174209.0,2024-12-11,2025-12-06,0,5.0,A
OBL0000040,CLI0005681,PROD014,6274818.0,5626731.0,1530175.0,234447.0,2024-11-21,2026-11-11,0,17.0,A
OBL0000041,CLI0009990,PROD002,13221450.0,11944017.0,3992885.0,199067.0,2024-06-27,2029-06-01,0,,A
OBL0000042,CLI0006865,PROD010,5296632.0,5192991.0,4890159.0,144250.0,2024-01-05,2026-12-20,0,2.0,A
OBL0000043,CLI0009123,PROD001,26626977.0,25980887.0,11708576.0,541268.0,2024-03-31,2028-03-10,0,26.0,A
OBL0000044,CLI0009142,PROD004,45913637.0,42942719.0,40600879.0,1192853.0,2024-10-03,2027-09-18,0,1.0,A
OBL0000045,CLI0002773,PROD011,11881594.0,11587304.0,8891459.0,482804.0,2024-01-28,2026-01-17,0,5.0,A
OBL0000046,CLI0008971,PROD006,31290229.0,29069366.0,4073690.0,605612.0,2024-03-09,2028-02-17,28,41.0,B
OBL0000047,CLI0000651,PROD007,18103595.0,15516520.0,9596853.0,431014.0,2024-11-25,2027-11-10,0,13.0,A
OBL0000048,CLI0001691,PROD002,23189642.0,20872150.0,3836973.0,347869.0,2024-12-09,2029-11-13,0,48.0,A
OBL0000049,CLI0006899,PROD002,21474791.0,21240032.0,5878265.0,354001.0,2024-01-12,2028-12-16,20,43.0,
OBL0000050,CLI0009600,PROD003,21139949.0,20679957.0,3127868.0,574443.0,2024-10-13,2027-09-28,0,30.0,A
OBL0000051,CLI0006212,PROD006,21917505.0,18755903.0,548517.0,390748.0,2024-01-30,2028-01-09,0,46.0,A
OBL0000052,CLI0001281,PROD006,20188063.0,20124331.0,4628506.0,419257.0,2024-08-07,2028-07-17,0,36.0,A
OBL0000053,CLI0000818,PROD004,20835663.0,19805475.0,17273495.0,550152.0,2024-06-27,2027-06-12,6,4.0,B
OBL0000054,CLI0005817,PROD005,45040694.0,40618871.0,9827083.0,676981.0,2024-07-02,2029-06-06,0,45.0,A
OBL0000055,CLI0006437,PROD004,11559994.0,11522591.0,8824383.0,320072.0,2024-04-14,2027-03-30,53,8.0,C
OBL0000056,CLI0004047,PROD011,27881734.0,27632649.0,11966366.0,1151360.0,2024-02-19,2026-02-08,0,13.0,A
OBL0000057,CLI0001778,PROD012,36613955.0,35749102.0,24824463.0,1489546.0,2024-01-22,2026-01-11,10,7.0,B
OBL0000058,CLI0007493,PROD011,11180490.0,10449708.0,6447226.0,435404.0,2024-09-06,2026-08-27,0,9.0,A
OBL0000059,CLI0006183,PROD012,19661458.0,17134706.0,7134929.0,713946.0,2024-03-06,2026-02-24,0,14.0,A
OBL0000060,CLI0008654,PROD003,39502385.0,37146148.0,13124388.0,1031837.0,2024-02-01,2027-01-16,0,23.0,A
OBL0000061,CLI0002909,PROD014,6811025.0,5859855.0,4240789.0,244161.0,2024-09-25,2026-09-15,21,6.0,B
OBL0000062,CLI0008693,PROD015,13085867.0,12510425.0,5644124.0,208507.0,2024-02-28,2029-02-01,0,32.0,A
OBL0000063,CLI0008954,PROD006,1212981.0,1211611.0,669548.0,25242.0,2024-08-26,2028-08-05,0,21.0,
OBL0000064,CLI0008865,PROD001,40866728.0,37024301.0,21645613.0,771340.0,2024-09-21,2028-08-31,0,19.0,A
OBL0000065,CLI0002100,PROD005,33825823.0,30058012.0,18754236.0,500967.0,2024-05-12,2029-04-16,0,22.0,
